loop = 0
# Time Axis1 Axis2 Axis3 Axis4 Axis5 Axis6 Axis7 Axis8 Axis9 Axis10 Axis11 Axis12
0.0 0.512289 0.496207 0.247863 0.0 0.0 0.0 0.508332 0.743706 0.237739 91.652176 -0.067436 171.165649
0.02 0.512316 0.496307 0.247863 0.0 0.0 0.0 0.508325 0.743804 0.23772 91.660278 -0.071837 171.197968
0.04 0.512398 0.496602 0.247863 0.0 0.0 0.0 0.508306 0.744095 0.237664 91.684273 -0.084911 171.294098
0.06 0.512533 0.497089 0.247863 0.0 0.0 0.0 0.508276 0.744576 0.237573 91.723663 -0.106476 171.452896
0.08 0.512719 0.497765 0.247866 0.0 0.0 0.0 0.508235 0.745242 0.237449 91.777885 -0.136322 171.673172
0.1 0.512956 0.498626 0.247871 0.0 0.0 0.0 0.508184 0.746091 0.237294 91.846344 -0.174234 171.953827
0.12 0.51324 0.499668 0.247883 0.0 0.0 0.0 0.508124 0.747117 0.237111 91.928383 -0.219986 172.293686
0.14 0.51357 0.500888 0.247902 0.0 0.0 0.0 0.508057 0.748319 0.236903 92.023331 -0.273342 172.691666
0.16 0.513943 0.502282 0.247931 0.0 0.0 0.0 0.507982 0.749692 0.236675 92.130447 -0.334047 173.146622
0.18 0.514357 0.503849 0.247973 0.0 0.0 0.0 0.507901 0.751232 0.236429 92.248978 -0.40184 173.657455
0.2 0.51481 0.505583 0.248032 0.0 0.0 0.0 0.507814 0.752937 0.236172 92.378128 -0.476451 174.223038
0.22 0.515297 0.507482 0.24811 0.0 0.0 0.0 0.507721 0.754802 0.235906 92.517067 -0.557594 174.842255
0.24 0.515816 0.509543 0.248212 0.0 0.0 0.0 0.507624 0.756825 0.235638 92.664948 -0.644972 175.513977
0.26 0.516364 0.511763 0.248341 0.0 0.0 0.0 0.507523 0.759002 0.235371 92.8209 -0.73828 176.237076
0.28 0.516937 0.514137 0.248501 0.0 0.0 0.0 0.507418 0.761329 0.235113 92.984032 -0.837201 177.010406
0.3 0.517532 0.516663 0.248696 0.0 0.0 0.0 0.50731 0.763803 0.234868 93.153419 -0.941398 177.832809
0.32 0.518146 0.519338 0.248932 0.0 0.0 0.0 0.5072 0.76642 0.234642 93.328156 -1.050538 178.703079
0.34 0.518775 0.522157 0.249211 0.0 0.0 0.0 0.507088 0.769177 0.234441 93.507286 -1.164264 179.620041
0.36 0.519414 0.525117 0.249539 0.0 0.0 0.0 0.506973 0.772069 0.234271 93.689888 -1.282213 -179.417526
0.38 0.520061 0.528213 0.24992 0.0 0.0 0.0 0.506858 0.775094 0.234138 93.875015 -1.404007 -178.410889
0.4 0.520712 0.531443 0.250358 0.0 0.0 0.0 0.506741 0.778247 0.234049 94.061729 -1.529267 -177.361313
0.42 0.521362 0.534801 0.250859 0.0 0.0 0.0 0.506623 0.781524 0.23401 94.249092 -1.657589 -176.270096
0.44 0.522009 0.538283 0.251427 0.0 0.0 0.0 0.506505 0.784922 0.234026 94.436172 -1.788571 -175.138565
0.46 0.522648 0.541886 0.252066 0.0 0.0 0.0 0.506386 0.788435 0.234106 94.622078 -1.921795 -173.968109
0.48 0.523275 0.545603 0.252781 0.0 0.0 0.0 0.506267 0.79206 0.234254 94.805901 -2.05683 -172.760101
0.5 0.523888 0.54943 0.253576 0.0 0.0 0.0 0.506146 0.795791 0.234477 94.986778 -2.193244 -171.515991
0.52 0.524481 0.553361 0.254456 0.0 0.0 0.0 0.506026 0.799625 0.234782 95.163864 -2.330598 -170.237244
0.54 0.525053 0.557392 0.255425 0.0 0.0 0.0 0.505904 0.803556 0.235174 95.336342 -2.468444 -168.925369
0.56 0.525598 0.561516 0.256486 0.0 0.0 0.0 0.505782 0.80758 0.235659 95.503441 -2.606318 -167.581894
0.58 0.526114 0.565728 0.257644 0.0 0.0 0.0 0.505658 0.81169 0.236244 95.664406 -2.743768 -166.208389
0.6 0.526598 0.570022 0.258903 0.0 0.0 0.0 0.505532 0.815882 0.236934 95.818535 -2.880333 -164.806503
