loop = 0
# Time Axis1 Axis2 Axis3 Axis4 Axis5 Axis6 Axis7 Axis8 Axis9 Axis10 Axis11 Axis12
0.0 0.370557 -0.079905 0.362758 0.0 0.0 0.0 0.681321 0.707546 0.671255 91.652176 -0.067436 171.165649
0.02 0.370612 -0.079707 0.362758 0.0 0.0 0.0 0.681315 0.707644 0.671236 91.660278 -0.071837 171.197968
0.04 0.370775 -0.079116 0.362758 0.0 0.0 0.0 0.681296 0.707935 0.67118 91.684273 -0.084911 171.294098
0.06 0.371044 -0.078142 0.362759 0.0 0.0 0.0 0.681265 0.708416 0.671089 91.723663 -0.106476 171.452896
0.08 0.371417 -0.07679 0.362764 0.0 0.0 0.0 0.681224 0.709082 0.670965 91.777885 -0.136322 171.673172
0.1 0.37189 -0.075069 0.362776 0.0 0.0 0.0 0.681173 0.709931 0.67081 91.846344 -0.174234 171.953827
0.12 0.372458 -0.072985 0.362798 0.0 0.0 0.0 0.681114 0.710957 0.670627 91.928383 -0.219986 172.293686
0.14 0.373118 -0.070545 0.362836 0.0 0.0 0.0 0.681046 0.712159 0.670419 92.023331 -0.273342 172.691666
0.16 0.373865 -0.067755 0.362894 0.0 0.0 0.0 0.680971 0.713532 0.670191 92.130447 -0.334047 173.146622
0.18 0.374694 -0.064623 0.362979 0.0 0.0 0.0 0.68089 0.715072 0.669946 92.248978 -0.40184 173.657455
0.2 0.375598 -0.061154 0.363096 0.0 0.0 0.0 0.680803 0.716777 0.669688 92.378128 -0.476451 174.223038
0.22 0.376572 -0.057355 0.363253 0.0 0.0 0.0 0.68071 0.718643 0.669422 92.517067 -0.557594 174.842255
0.24 0.377611 -0.053233 0.363456 0.0 0.0 0.0 0.680613 0.720665 0.669154 92.664948 -0.644972 175.513977
0.26 0.378706 -0.048794 0.363714 0.0 0.0 0.0 0.680512 0.722842 0.668888 92.8209 -0.73828 176.237076
0.28 0.379853 -0.044045 0.364034 0.0 0.0 0.0 0.680407 0.725169 0.668629 92.984032 -0.837201 177.010406
0.3 0.381044 -0.038993 0.364426 0.0 0.0 0.0 0.6803 0.727643 0.668384 93.153419 -0.941398 177.832809
0.32 0.382271 -0.033644 0.364896 0.0 0.0 0.0 0.680189 0.73026 0.668158 93.328156 -1.050538 178.703079
0.34 0.383528 -0.028006 0.365455 0.0 0.0 0.0 0.680077 0.733017 0.667957 93.507286 -1.164264 179.620041
0.36 0.384807 -0.022087 0.36611 0.0 0.0 0.0 0.679963 0.73591 0.667787 93.689888 -1.282213 -179.417526
0.38 0.386101 -0.015893 0.366872 0.0 0.0 0.0 0.679847 0.738934 0.667655 93.875015 -1.404007 -178.410889
0.4 0.387402 -0.009434 0.367749 0.0 0.0 0.0 0.67973 0.742087 0.667565 94.061729 -1.529267 -177.361313
0.42 0.388703 -0.002718 0.368751 0.0 0.0 0.0 0.679613 0.745365 0.667526 94.249092 -1.657589 -176.270096
0.44 0.389997 0.004247 0.369887 0.0 0.0 0.0 0.679494 0.748762 0.667543 94.436172 -1.788571 -175.138565
0.46 0.391274 0.011451 0.371165 0.0 0.0 0.0 0.679375 0.752275 0.667622 94.622078 -1.921795 -173.968109
0.48 0.392529 0.018885 0.372595 0.0 0.0 0.0 0.679256 0.7559 0.66777 94.805901 -2.05683 -172.760101
0.5 0.393754 0.026539 0.374185 0.0 0.0 0.0 0.679136 0.759631 0.667994 94.986778 -2.193244 -171.515991
0.52 0.394941 0.034402 0.375945 0.0 0.0 0.0 0.679015 0.763465 0.668298 95.163864 -2.330598 -170.237244
0.54 0.396084 0.042464 0.377882 0.0 0.0 0.0 0.678894 0.767396 0.66869 95.336342 -2.468444 -168.925369
0.56 0.397175 0.050713 0.380005 0.0 0.0 0.0 0.678771 0.77142 0.669176 95.503441 -2.606318 -167.581894
0.58 0.398208 0.059137 0.382321 0.0 0.0 0.0 0.678647 0.77553 0.669761 95.664406 -2.743768 -166.208389
0.6 0.399175 0.067724 0.384838 0.0 0.0 0.0 0.678521 0.779722 0.67045 95.818535 -2.880333 -164.806503
0.62 0.400072 0.076463 0.387562 0.0 0.0 0.0 0.678394 0.783991 0.67125 95.965187 -3.015549 -163.377838
0.64 0.400892 0.085338 0.390501 0.0 0.0 0.0 0.678263 0.788329 0.672166 96.103737 -3.148958 -161.924118
0.66 0.401629 0.094339 0.39366 0.0 0.0 0.0 0.678129 0.792731 0.673202 96.233635 -3.280098 -160.447037
0.68 0.402279 0.103449 0.397044 0.0 0.0 0.0 0.677991 0.797192 0.674363 96.35437 -3.408523 -158.948349
0.7 0.402835 0.112657 0.400658 0.0 0.0 0.0 0.677849 0.801704 0.675653 96.4655 -3.533778 -157.42984
0.72 0.403295 0.121946 0.404507 0.0 0.0 0.0 0.677701 0.806261 0.677077 96.56662 -3.655431 -155.893311
0.74 0.403653 0.131303 0.408594 0.0 0.0 0.0 0.677547 0.810857 0.678638 96.65741 -3.773059 -154.340607
0.76 0.403906 0.140713 0.412923 0.0 0.0 0.0 0.677386 0.815484 0.680338 96.737587 -3.886251 -152.77359
0.78 0.40405 0.15016 0.417494 0.0 0.0 0.0 0.677217 0.820136 0.682182 96.806938 -3.994606 -151.194153
0.8 0.404085 0.159629 0.422311 0.0 0.0 0.0 0.677039 0.824805 0.68417 96.865318 -4.097759 -149.604187
