loop = 0
# Time Axis1 Axis2 Axis3 Axis4 Axis5 Axis6 Axis7 Axis8 Axis9 Axis10 Axis11 Axis12
0.0 27.035796 -8.343821 -554.701636 0.0 0.0 0.0 18.329917 536.152742 -576.974981 91.652176 -0.067436 171.165649
0.02 27.096164 -8.125426 -554.701932 0.0 0.0 0.0 18.315433 536.36825 -577.016423 91.660278 -0.071837 171.197968
0.04 27.275875 -7.475991 -554.702258 0.0 0.0 0.0 18.273519 537.009044 -577.138962 91.684273 -0.084911 171.294098
0.06 27.572347 -6.403894 -554.701014 0.0 0.0 0.0 18.206368 538.066665 -577.339274 91.723663 -0.106476 171.452896
0.08 27.982412 -4.91724 -554.69565 0.0 0.0 0.0 18.116066 539.532812 -577.61283 91.777885 -0.136322 171.673172
0.1 28.502282 -3.023874 -554.682733 0.0 0.0 0.0 18.00455 541.399345 -577.954128 91.846344 -0.174234 171.953827
0.12 29.127633 -0.731419 -554.658007 0.0 0.0 0.0 17.873639 543.658256 -578.356763 91.928383 -0.219986 172.293686
0.14 29.853689 1.952687 -554.616447 0.0 0.0 0.0 17.725112 546.301659 -578.813448 92.023331 -0.273342 172.691666
0.16 30.675139 5.021143 -554.552326 0.0 0.0 0.0 17.560586 549.321767 -579.316013 92.130447 -0.334047 173.146622
0.18 31.586295 8.466761 -554.459267 0.0 0.0 0.0 17.381638 552.710876 -579.855584 92.248978 -0.40184 173.657455
0.2 32.581038 12.2824 -554.330296 0.0 0.0 0.0 17.189744 556.461324 -580.422598 92.378128 -0.476451 174.223038
0.22 33.652888 16.460941 -554.157901 0.0 0.0 0.0 16.986295 560.565493 -581.006789 92.517067 -0.557594 174.842255
0.24 34.795071 20.995231 -553.934077 0.0 0.0 0.0 16.772646 565.015763 -581.597304 92.664948 -0.644972 175.513977
0.26 36.000501 25.878042 -553.650386 0.0 0.0 0.0 16.550065 569.804494 -582.182772 92.8209 -0.73828 176.237076
0.28 37.261791 31.102036 -553.298004 0.0 0.0 0.0 16.319695 574.924002 -582.751329 92.984032 -0.837201 177.010406
0.3 38.571395 36.6597 -552.867771 0.0 0.0 0.0 16.082689 580.366526 -583.290565 93.153419 -0.941398 177.832809
0.32 39.921494 42.543318 -552.35025 0.0 0.0 0.0 15.840036 586.124187 -583.787867 93.328156 -1.050538 178.703079
0.34 41.304156 48.744956 -551.735765 0.0 0.0 0.0 15.592694 592.18901 -584.230109 93.507286 -1.164264 179.620041
0.36 42.711277 55.256373 -551.014463 0.0 0.0 0.0 15.341487 598.55283 -584.603982 93.689888 -1.282213 -179.417526
0.38 44.134646 62.069014 -550.176362 0.0 0.0 0.0 15.087139 605.207302 -584.895865 93.875015 -1.404007 -178.410889
0.4 45.56604 69.174002 -549.211391 0.0 0.0 0.0 14.830326 612.143885 -585.092076 94.061729 -1.529267 -177.361313
0.42 46.997121 76.562046 -548.109462 0.0 0.0 0.0 14.571529 619.353771 -585.178663 94.249092 -1.657589 -176.270096
